,Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
210,as2border1,default,2.1.1.2/32,as2core1,2.12.11.2,dynamic,ospf,3,110,
211,as2core1,default,1.0.1.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
212,as2dist2,default,2.12.11.0/24,as2core1,2.23.12.2,dynamic,ospf,2,110,
213,as2border2,default,2.1.2.1/32,as2core1,2.12.21.2,dynamic,ospf,2,110,
214,as2core2,default,1.0.1.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
215,as2border2,default,2.1.1.2/32,,AUTO/NONE(-1l),Loopback0,connected,0,0,
216,as2dist2,default,2.23.22.0/24,,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
217,as2core2,default,2.12.22.2/32,,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
218,as2core1,default,2.1.1.2/32,as2border2,2.12.21.1,dynamic,ospf,2,110,
219,as2border2,default,2.34.201.0/24,as2core2,2.12.22.2,dynamic,ospfE2,20,110,
220,as2border2,default,2.128.0.0/24,as2dept1,2.34.201.4,dynamic,ibgp,50,200,
221,as2border2,default,2.128.0.0/24,as2dept1,2.34.201.4,dynamic,ibgp,50,200,
222,as2core2,default,2.12.12.0/24,,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
223,as2core2,default,2.1.3.1/32,as2dist1,2.23.21.3,dynamic,ospf,2,110,
224,as3core1,default,90.90.90.1/32,,AUTO/NONE(-1l),GigabitEthernet2/0,local,0,0,
225,as1border1,default,10.13.22.0/24,as1core1,1.0.1.2,dynamic,ospfE2,20,110,
226,as2dist1,default,2.1.3.1/32,,AUTO/NONE(-1l),Loopback0,connected,0,0,
227,as3core1,default,1.0.1.0/24,as1border2,10.13.22.1,dynamic,ibgp,50,200,
228,as2dist2,default,2.23.12.0/24,,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
229,as2dist2,default,2.34.201.0/24,,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
230,as2core2,default,2.12.12.2/32,,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
231,as2core2,default,2.12.21.0/24,as2border2,2.12.22.1,dynamic,ospf,2,110,
232,as2border2,default,1.0.1.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
233,as2border2,default,1.0.1.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
234,as2border1,default,2.34.201.0/24,as2core1,2.12.11.2,dynamic,ospfE2,20,110,
235,as2core2,default,2.23.21.0/24,,AUTO/NONE(-1l),GigabitEthernet3/0,connected,0,0,
236,as2border1,default,2.128.1.0/24,as2dept1,2.34.101.4,dynamic,ibgp,50,200,
237,as2border1,default,2.128.1.0/24,as2dept1,2.34.101.4,dynamic,ibgp,50,200,
238,as2dist2,default,1.0.2.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
239,as2dist2,default,1.0.2.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
240,as2dist1,default,1.0.2.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
241,as2dist1,default,1.0.2.0/24,as1border1,10.12.11.1,dynamic,ibgp,50,200,
242,as1border2,default,3.0.2.0/24,as3border2,10.13.22.3,dynamic,bgp,50,20,
243,as3border1,default,10.23.21.3/32,,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
244,as2border2,default,2.128.1.0/24,as2dept1,2.34.101.4,dynamic,ibgp,50,200,
245,as2border2,default,2.128.1.0/24,as2dept1,2.34.101.4,dynamic,ibgp,50,200,
246,as2border2,default,10.12.11.0/24,as2core1,2.12.21.2,dynamic,ospfE2,20,110,
247,as2border2,default,2.12.11.0/24,as2core1,2.12.21.2,dynamic,ospf,2,110,
248,as2core1,default,2.1.2.2/32,as2dist2,2.23.12.3,dynamic,ospf,3,110,
249,as2dist2,default,10.23.21.0/24,as2core1,2.23.12.2,dynamic,ospfE2,20,110,
250,as2dist1,default,2.1.3.2/32,as2core2,2.23.21.2,dynamic,ospf,3,110,
251,as3core1,default,10.13.22.0/24,as3border2,3.0.2.1,dynamic,ospfE2,20,110,
252,as2dist2,default,2.1.2.1/32,as2core1,2.23.12.2,dynamic,ospf,2,110,
253,as1core1,default,1.1.1.1/32,as1border1,1.0.1.1,dynamic,ospf,2,110,
254,as2core1,default,2.128.1.0/24,as2dept1,2.34.201.4,dynamic,ibgp,50,200,
255,as2border1,default,2.1.3.1/32,as2core1,2.12.11.2,dynamic,ospf,3,110,
256,as2border1,default,2.23.21.0/24,as2core2,2.12.12.2,dynamic,ospf,2,110,
257,as2dist1,default,2.23.12.0/24,as2core1,2.23.11.2,dynamic,ospf,2,110,
258,as1border1,default,2.128.0.0/16,as2border1,10.12.11.2,dynamic,bgp,50,20,
259,as1border1,default,2.128.0.0/16,as2border1,10.12.11.2,dynamic,bgp,50,20,
260,as1border2,default,10.14.22.0/24,,AUTO/NONE(-1l),GigabitEthernet2/0,connected,0,0,
261,as2dist1,default,2.34.201.0/24,as2core2,2.23.21.2,dynamic,ospfE2,20,110,
262,as2core2,default,2.128.1.0/24,as2dept1,2.34.201.4,dynamic,ibgp,50,200,
263,as2border1,default,2.23.12.0/24,as2core1,2.12.11.2,dynamic,ospf,2,110,
264,as2border2,default,2.128.0.0/24,as2dept1,2.34.101.4,dynamic,ibgp,50,200,
265,as2border2,default,2.128.0.0/24,as2dept1,2.34.101.4,dynamic,ibgp,50,200,
266,as2dist1,default,2.128.0.0/24,as2dept1,2.34.101.4,dynamic,bgp,50,20,
267,as1border1,default,10.12.11.0/24,,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
268,as1border2,default,10.12.11.0/24,as1core1,1.0.2.2,dynamic,ospfE2,20,110,
269,as1core1,default,10.12.11.0/24,as1border1,1.0.1.1,dynamic,ospfE2,20,110,
270,as2border2,default,2.23.21.0/24,as2core2,2.12.22.2,dynamic,ospf,2,110,
271,as2border1,default,2.128.0.0/24,as2dept1,2.34.101.4,dynamic,ibgp,50,200,
272,as2border1,default,2.128.0.0/24,as2dept1,2.34.101.4,dynamic,ibgp,50,200,
273,as2core1,default,2.34.101.0/24,as2dist1,2.23.11.3,dynamic,ospfE2,20,110,
274,as2dist2,default,2.1.2.2/32,as2core2,2.23.22.2,dynamic,ospf,2,110,
275,as3core1,default,90.90.90.0/24,,AUTO/NONE(-1l),GigabitEthernet3/0,connected,0,0,
276,as2dist2,default,2.12.22.0/24,as2core2,2.23.22.2,dynamic,ospf,2,110,
277,as2dist2,default,2.128.0.0/16,as2border2,2.1.1.2,dynamic,ibgp,0,200,
278,as2dist2,default,2.128.0.0/16,as2border2,2.1.1.2,dynamic,ibgp,0,200,
279,as2dist1,default,2.128.0.0/16,as2border2,2.1.1.2,dynamic,ibgp,0,200,
280,as2dist1,default,2.128.0.0/16,as2border2,2.1.1.2,dynamic,ibgp,0,200,
281,as2dept1,default,2.34.101.0/24,,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
282,as2border1,default,2.23.11.0/24,as2core1,2.12.11.2,dynamic,ospf,2,110,
