,Node,VRF,Network,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
145,as2core1,default,2.23.21.0/24,2.23.11.3,GigabitEthernet2/0,ospf,2,110,
146,as2core1,default,2.23.22.0/24,2.23.12.3,GigabitEthernet3/0,ospf,2,110,
147,as2core1,default,2.34.101.0/24,2.23.11.3,GigabitEthernet2/0,ospfE2,20,110,
148,as2core1,default,2.34.201.0/24,2.23.12.3,GigabitEthernet3/0,ospfE2,20,110,
149,as2core1,default,2.128.0.0/16,2.1.1.1,dynamic,ibgp,0,200,
150,as2core1,default,2.128.0.0/16,2.1.1.2,dynamic,ibgp,0,200,
151,as2core1,default,2.128.0.0/24,2.34.101.4,dynamic,ibgp,50,200,
152,as2core1,default,2.128.0.0/24,2.34.201.4,dynamic,ibgp,50,200,
153,as2core1,default,2.128.1.0/24,2.34.101.4,dynamic,ibgp,50,200,
154,as2core1,default,2.128.1.0/24,2.34.201.4,dynamic,ibgp,50,200,
155,as2core1,default,3.0.1.0/24,10.23.21.3,dynamic,ibgp,50,200,
156,as2core1,default,3.0.2.0/24,10.23.21.3,dynamic,ibgp,50,200,
157,as2core1,default,10.12.11.0/24,2.12.11.1,GigabitEthernet0/0,ospfE2,20,110,
158,as2core1,default,10.23.21.0/24,2.12.21.1,GigabitEthernet1/0,ospfE2,20,110,
159,as2core2,default,1.0.1.0/24,10.12.11.1,dynamic,ibgp,50,200,
160,as2core2,default,1.0.2.0/24,10.12.11.1,dynamic,ibgp,50,200,
161,as2core2,default,2.1.1.1/32,2.12.12.1,GigabitEthernet1/0,ospf,2,110,
162,as2core2,default,2.1.1.2/32,2.12.22.1,GigabitEthernet0/0,ospf,2,110,
163,as2core2,default,2.1.2.1/32,2.12.12.1,GigabitEthernet1/0,ospf,3,110,
164,as2core2,default,2.1.2.1/32,2.12.22.1,GigabitEthernet0/0,ospf,3,110,
165,as2core2,default,2.1.2.1/32,2.23.21.3,GigabitEthernet3/0,ospf,3,110,
166,as2core2,default,2.1.2.1/32,2.23.22.3,GigabitEthernet2/0,ospf,3,110,
167,as2core2,default,2.1.2.2/32,AUTO/NONE(-1l),Loopback0,connected,0,0,
168,as2core2,default,2.1.3.1/32,2.23.21.3,GigabitEthernet3/0,ospf,2,110,
169,as2core2,default,2.1.3.2/32,2.23.22.3,GigabitEthernet2/0,ospf,2,110,
170,as2core2,default,2.12.11.0/24,2.12.12.1,GigabitEthernet1/0,ospf,2,110,
171,as2core2,default,2.12.12.0/24,AUTO/NONE(-1l),GigabitEthernet1/0,connected,0,0,
172,as2core2,default,2.12.12.2/32,AUTO/NONE(-1l),GigabitEthernet1/0,local,0,0,
173,as2core2,default,2.12.21.0/24,2.12.22.1,GigabitEthernet0/0,ospf,2,110,
174,as2core2,default,2.12.22.0/24,AUTO/NONE(-1l),GigabitEthernet0/0,connected,0,0,
175,as2core2,default,2.12.22.2/32,AUTO/NONE(-1l),GigabitEthernet0/0,local,0,0,
176,as2core2,default,2.23.11.0/24,2.23.21.3,GigabitEthernet3/0,ospf,2,110,
177,as2core2,default,2.23.12.0/24,2.23.22.3,GigabitEthernet2/0,ospf,2,110,
178,as2core2,default,2.23.21.0/24,AUTO/NONE(-1l),GigabitEthernet3/0,connected,0,0,
